Year,Product Type,Product/Title,Plot/Notes,Tags
1993,car,"subaru impreza""teaser""",this ad was produced by wiedenkennedy. six different commercials are used to describe the new impreza:1. the honda civic have a 3channel abs but the impreza have a 4channel abs.2. the impreza having less trouble starting the engine in cold weather condition than the honda civic by eliminating the distributor.3. with the new ej18 horizontally opposed engine help the impreza for better connering and better weight distribution than the honda civic.4. the impreza suspension give a smoother ride than a double wishbone suspension honda civic.5. the impreza tcu is linked with the ecu to provide seamless shifting.6. the subaru passenger car which registration in the past 10 years are still on the road for 93 percent according to 1991 r.l. polk  company passenger car registration report.narrator: kirstie alley,"[('car', 1.0), ('subaru', 0.6717), ('impreza', 0.6247), ('teaser', 0.4761), ('honda', 0.4388)]"
1993,car,"honda prelude""slingshot""","this ad was produced by rpa. the commercial announcer saying ""presenting the one hundred and ninety horsepower prelude vtec"" then the car going reverse and suddenly the prelude go forward like a slingshot fires then the commercial announcer saying ""from honda"" before ending with the honda logo and the american honda motor jingle.","[('car', 1.0), ('slingshot', 0.6373), ('prelude', 0.5837), ('honda', 0.5047), ('commercial', 0.4643)]"
1994,car,"jeep""snow covered""","this ad was produced by bozell. the commercial features something tunneling beneath the snow, crossing a vast and desolate mountain range, bathed in the multicolored glow of the setting sun. the tunneling object is never exposed and actually remains undefined until the last seconds of the ad, when we see twin taillights light up at a partially submerged stop sign and then turn left. the car is only identified as a jeep on the final title card that flashes across the screen the commercial first aired during the opening ceremonies of the 1994 winter olympics. although the ad was recognized for its remarkable special effects, many of which eschewed cgi in favor of practical setups, it has been most credited for its approach to the jeep brand as a whole. while most ads only receive major airplay for a few months, snow covered was shown for the better part of a decade after its release. the snow covered ad was awarded with the prestigious grand prix award in the section film lions at the cannes lions international advertising festival in 1994, becoming the first auto ad to ever do so. by beating cup noodles sequels ""hungry"" quetzalcoatlus and uintatherium which produced by hakuhodo. before the ad aired in super bowl xxix.","[('car', 1.0), ('jeep', 0.6419), ('snow', 0.566), ('covered', 0.4292), ('advertising', 0.3335)]"
1994,beer,"budweiser""frogs""","three frogs are sitting in a swamp sounding out different syllables until they finally speak out the name ""budweiser""","[('beer', 1.0), ('budweiser', 0.7268), ('frogs', 0.6405), ('syllables', 0.4904), ('swamp', 0.3729)]"
1994,car,"jeep grand cherokee""driveaway""",,"[('car', 1.0), ('jeep', 0.6148), ('cherokee', 0.6064), ('driveaway', 0.5789), ('grand', 0.2614)]"
1994,clothing,"no fear""rodeo""",the commercial features ninetime world champion rodeo cowboy ty murray the commercial aired later during the 1995 indianapolis 500.,"[('clothing', 1.0), ('rodeo', 0.7785), ('fear', 0.5179), ('commercial', 0.4896), ('murray', 0.3792)]"
1996,film,independence day,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('independence', 0.7039), ('tv', 0.6307), ('day', 0.5198)]"
1996,restaurant,"mcdonalds""baby swing""","swinging in her baby swing to ""rockabye baby,"" a little girl. swinging forward, she puts on a happy smile swinging backwards, her face crumples in distress swinging forward, her eyes light up again, swinging back tears form in her eyes, a reverse cut shows that the swing is facing a window when the swing comes forward the baby can see mcdonalds golden arches when it swings back she cant.  the baby swing ad has won the grand prix in the section film lions at the cannes lions international advertising festival with the rolo ad ""elephant"" in same year this ad was produced by leo burnett worldwide.","[('restaurant', 1.0), ('mcdonalds', 0.6004), ('swing', 0.5828), ('swinging', 0.3601), ('swings', 0.3277)]"
1997,car,"nissan""pigeons""","with homage to top gun, pigeons attempt to poop on a nissan, but the car is too fast for them.","[('car', 1.0), ('pigeons', 0.67), ('nissan', 0.6069), ('poop', 0.3368), ('gun', 0.3289)]"
1997,film,dantes peak,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('dantes', 0.7639), ('peak', 0.6358), ('tv', 0.6307)]"
1997,film,the lost world: jurassic park,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('jurassic', 0.8027), ('tv', 0.6307), ('lost', 0.4964)]"
1997,film,the saint,tv promo.,"[('film', 1.0), ('saint', 0.9235), ('promo', 0.8236), ('tv', 0.6307)]"
1997,food,"eggo""grandma""","as an eggo waffle pops out of a toaster, a family rushes over to grab it, but it disappears. in an instant replay, its revealed their grandmother somersaulted through the air and finished eating it before they got to the toaster.","[('food', 1.0), ('eggo', 0.7678), ('grandma', 0.6968), ('waffle', 0.5762), ('toaster', 0.4623)]"
1997,food,"lays""nuzzle and nibble""","at a fancy restaurant, miss piggy falls in love with a charming man. but when the man wants to eat her baked lays, she karate chops him through the wall.","[('food', 1.0), ('nibble', 0.7196), ('nuzzle', 0.7055), ('lays', 0.5272), ('piggy', 0.4648)]"
1997,food,"lays""party""","people are celebrating the new flavors of baked lays. when miss piggy has the door closed on her, she disrupts the party by kicking down the door.cast: richard lewis.","[('food', 1.0), ('lays', 0.675), ('party', 0.668), ('cast', 0.4753), ('baked', 0.4311)]"
1997,soft drink,"pepsi""darth vader""","while watching star wars, a little kid is sucking on the straw of his pepsi too loud, so darth vader uses the force to crush his pepsi. an usher stands up for the kid, and soon has a giant lightsaber battle with vader.","[('soft drink', 1.0), ('pepsi', 0.6317), ('darth', 0.6074), ('vader', 0.5695), ('lightsaber', 0.5302)]"
1998,beer,"bud light""chicken pool""",a man challenges a pool player with his chicken. the chicken wins the game by shooting eggs.,"[('beer', 1.0), ('pool', 0.6032), ('chicken', 0.4379), ('eggs', 0.4013), ('game', 0.3597)]"
1998,beer,"bud light""shopping""","a man is bored while his wife is clothes shopping. he hears a voice in one of the clothing racks, and finds four of his buddies watching the game.cast: sean hayes, kathy christopherson.","[('beer', 1.0), ('shopping', 0.5886), ('sean', 0.464), ('cast', 0.4527), ('light', 0.3997)]"
1998,beer,"budweiser""master plan""","in a sixpart commercial story, louie the lizard tries to kill off the budweiser frogs. it goes like this:1. louie tells the frogs to enjoy the first half, because they may not be around for the second.2. louie denies rumors from frank that hes going to kill the frogs.3. the ferret, louies accomplice, drops the budweiser sign into the swamp, electrocuting the frogs.4. louie says its the best day of his life, until he sees that the frogs have survived.5. louie rants to the ferret that he screwed up the job.6. louie apologizes for trying to kill the frogs, saying it was purely for entertainment reasons.","[('beer', 1.0), ('budweiser', 0.7413), ('louie', 0.5141), ('frogs', 0.5119), ('louies', 0.4661)]"
1998,car,"pontiac""acme pontiac""","in a wile e. coyote and road runner cartoon, wile e. coyote uses a widetrack grand prix to try and catch the road runner. coyote is almost successful, until the cartoon ends before he can catch the road runner.","[('car', 1.0), ('pontiac', 0.76), ('acme', 0.5498), ('coyote', 0.5312), ('cartoon', 0.3506)]"
1998,computer,"intel""mystery""","in the intel lab where everyone wears radiation suits, the detective in a suit finds a processor missing. its either jimmy the wire or susie the mouse. people voted in the internet poll ""whodunit"". at the fourth quarter, the suspect was announced.","[('computer', 1.0), ('intel', 0.7436), ('mystery', 0.4929), ('processor', 0.4203), ('detective', 0.3709)]"
1998,credit card,"visa""elephant""","a little girl talks about how she would want a pet elephant. in sweet music, the girl talks about her adventures with the elephant. she instead gets a plush elephant with visa debit. the commercial ends with her dreaming of a pet zebra.","[('credit card', 1.0), ('elephant', 0.6434), ('visa', 0.626), ('commercial', 0.4277), ('zebra', 0.3794)]"
1998,film,armageddon,tv promo.,"[('film', 1.0), ('armageddon', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
1998,film,lost in space,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('space', 0.6801), ('tv', 0.6307), ('lost', 0.6299)]"
1998,film,mercury rising,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('mercury', 0.7459), ('rising', 0.6622), ('tv', 0.6307)]"
1998,film,sphere,tv promo.,"[('film', 1.0), ('sphere', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
1998,film,the mask of zorro,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('zorro', 0.7473), ('mask', 0.6574), ('tv', 0.6307)]"
1998,film,the wedding singer,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('wedding', 0.702), ('singer', 0.6892), ('tv', 0.6307)]"
1998,food,"doritos""laundromat""","two men are at a laundromat when a beautiful woman ali landry enters to do her own laundry and notices them eating doritos. they try impressing her with elaborate ways of tossing doritos 3ds into the air. intrigued, the woman then walks over to them, takes the 3ds and tosses them into a washing machine where it shoots out individual pieces and demonstrates her own unique way of eating the new doritos. the man on the left then says, ""ay chihuahua""also starring sean hayes","[('food', 1.0), ('doritos', 0.6964), ('laundromat', 0.6832), ('chihuahua', 0.5015), ('sean', 0.3217)]"
1998,food,"hormel""bold innovations""",what appears to be a commercial for a car turns out to be a commercial for hormel chili.,"[('food', 1.0), ('commercial', 0.6298), ('hormel', 0.6127), ('innovations', 0.5338), ('bold', 0.4639)]"
1998,food,"tabasco sauce""mosquito""","a man is constantly putting tabasco sauce on his pizza. when a mosquito bites him on the leg, he does not mind. because when the mosquito flies off, it explodes. the advert would air as a cinema advert in the uk on late march/early april 2008.","[('food', 1.0), ('tabasco', 0.7384), ('mosquito', 0.5811), ('sauce', 0.4958), ('advert', 0.3629)]"
1998,mail,"fedex""we apologize""","a colored ""please stand by"" test bar is on the screen. a message scrolls across the screen: ""we apologize. you should be watching the new ad from earthco insurance. it starred those lifeguards from baywatch and a chorus line of singing kangaroos. we even got garth brooks to do the music. it was very humorous. unfortunately, a tape of the commercial didnt get to nbc on time. imagine, 1.3 million is going down the tubes all because some boob at our ad agency didnt send the commercial with fedex. had they used fedex, they would still be our ad agency.""","[('mail', 1.0), ('fedex', 0.7487), ('commercial', 0.542), ('apologize', 0.4262), ('ad', 0.3813)]"
1998,restaurant,"pizza hut""elvis""","five guys are hanging out. one says that elvis is back, while one jokes that hes dancing over at pizza hut. we cut to pizza hut to find this rumor true, as hes come back from the dead for their new edge pizza.","[('restaurant', 1.0), ('elvis', 0.7133), ('hut', 0.5931), ('pizza', 0.5476), ('rumor', 0.3226)]"
1998,shoes,"hilfiger""have some fun""",a fancy woman agent is representing michael richards as the hilfiger spokesman. we see richards losing at basketball when he hits his head.,"[('shoes', 1.0), ('hilfiger', 0.7129), ('richards', 0.4442), ('agent', 0.4224), ('spokesman', 0.3757)]"
1998,soft drink,"pepsi""mosquito""","a cgi fly sucks on a drop of pepsi. he then grows lips and a mouth, and proceeds to sing the rolling stones ""brown sugar"", but is later crushed by a pepsi can. one version has a redheaded teenage boy, while a different version was released with a young ricky martin.","[('soft drink', 1.0), ('pepsi', 0.6969), ('mosquito', 0.6543), ('cgi', 0.4691), ('sugar', 0.4062)]"
1998,soft drink,"pepsi""goose""","a man does aerial tricks with a goose, and they share a pepsi afterward.","[('soft drink', 1.0), ('pepsi', 0.7211), ('goose', 0.673), ('aerial', 0.3298), ('tricks', 0.3242)]"
1998,sports,"nfl""anthony""",a kid named anthony is said to play in the nfl.,"[('sports', 1.0), ('anthony', 0.7802), ('nfl', 0.5542), ('kid', 0.3952), ('named', 0.2967)]"
1998,tire,"michelin""drill""","a man goes up to his car and drills a hole in one of his tires. since its a michelin tire, it still wont go flat.","[('tire', 1.0), ('michelin', 0.7322), ('drill', 0.6369), ('tires', 0.4906), ('flat', 0.3089)]"
1998,website,"autobytel""pajamas""","while buying amazing car deals online, a woman is sucked into her computer to retrieve her new car.","[('website', 1.0), ('pajamas', 0.7392), ('autobytel', 0.5426), ('car', 0.4236), ('woman', 0.3972)]"
1999,beer,"bud light""paper or plastic""","two guys are trying to pay for their items, but they do not have enough. they get rid of some items, and are left with toilet paper and bud light, but it is not enough. choosing between the two, they choose bud light.","[('beer', 1.0), ('plastic', 0.5951), ('paper', 0.5439), ('light', 0.4167), ('items', 0.3167)]"
1999,beer,"budweiser""dalmatians""","at a firehouse, two dalmatian puppies roll around in a basket. the puppy with the blue collar is picked as the fire dog, in whichclarification needed it sticks its tongue at his brother with a red collar. two years pass, and the redcollared puppy is seen by the fire dog to be in a budweiser chariot driven by clydesdales. the dalmatian then sticks his tongue out at his estranged brother.","[('beer', 1.0), ('budweiser', 0.7714), ('dalmatians', 0.7121), ('dalmatian', 0.5043), ('puppies', 0.4754)]"
1999,beer,"budweiser""lashing""","louie the lizard apologizes for last years commercial see 1998. when the budweiser frogs mainly ""bud"" and ""er"" turn out to be able to talk, ""bud"" and ""er"" slap louie with their tongues.","[('beer', 1.0), ('budweiser', 0.7686), ('lashing', 0.6313), ('louie', 0.5681), ('frogs', 0.441)]"
1999,beer,"budweiser""lobster""","a lobster about to be cooked in a restaurant grabs a budweiser and holds it hostage. freaking out the restaurant, it leaves with the budweiser.","[('beer', 1.0), ('lobster', 0.7162), ('budweiser', 0.7083), ('restaurant', 0.398), ('hostage', 0.3479)]"
1999,credit card,"mastercard""toons""","characters from the hannabarbera cartoons are shown what it costs for contact lenses, a treadmill, a wonderbra, and a face lift. being happy with yourself is priceless.","[('credit card', 1.0), ('mastercard', 0.7321), ('toons', 0.6222), ('hannabarbera', 0.517), ('costs', 0.4114)]"
1999,computer,"apple inc.""hal""","in a parody of 2001: a space odyssey, hal flirts with dave. he says that a bug caused computers to misbehave in the year 2000, since they could not recognize the year 2000. they say that macintosh can recognize the year, and then asks, ""you like your macintosh better than me. dont you, dave""","[('computer', 1.0), ('apple', 0.65), ('hal', 0.6107), ('dave', 0.4711), ('macintosh', 0.4388)]"
1999,film,austin powers: the spy who shagged me,"in a tv promo, they announce that the new film to see this summer is the new star wars film. the second is the next austin powers film.","[('film', 1.0), ('spy', 0.5763), ('powers', 0.4669), ('austin', 0.4127), ('shagged', 0.3881)]"
1999,film,the corruptor,tv promo.,"[('film', 1.0), ('corruptor', 0.9383), ('promo', 0.8236), ('tv', 0.6307)]"
1999,film,ed tvlife,joint tv promo.,"[('film', 1.0), ('ed', 0.7592), ('tvlife', 0.7108), ('promo', 0.6055), ('tv', 0.5769)]"
1999,film,8mm,two tv promos.,"[('film', 1.0), ('8mm', 1.0), ('promos', 0.731), ('tv', 0.5259)]"
1999,film,the matrix,tv promo.,"[('film', 1.0), ('matrix', 0.8741), ('promo', 0.8236), ('tv', 0.6307)]"
1999,film,"mulan""groundhog day""","advertising the release of the film on video on groundhog day, mushu rises out of the hole instead of a groundhog, but he ultimately gets hit by a football.","[('film', 1.0), ('mulan', 0.5978), ('groundhog', 0.5944), ('mushu', 0.4382), ('day', 0.3767)]"
1999,film,the mummy,tv promo.,"[('film', 1.0), ('mummy', 0.9392), ('promo', 0.8236), ('tv', 0.6307)]"
1999,film,october sky,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('sky', 0.7312), ('october', 0.6811), ('tv', 0.6307)]"
1999,film,true crime,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('crime', 0.8205), ('tv', 0.6307), ('true', 0.2511)]"
1999,film,wild wild west,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('wild', 0.7596), ('west', 0.633), ('tv', 0.6307)]"
1999,food,"doritos""smokin""","at a college classroom, students are in awe of their hot teacher. she eats smoking red barbequed doritos, which causes the sprinklers to go off. luckily, the students bring umbrellas. but when they forget to use their umbrellas the second time she eats doritos, the students bow down to her in the rain. the announcer then says, ""umbrellas not included"".cast: ali landry.","[('food', 1.0), ('doritos', 0.7776), ('smokin', 0.6598), ('umbrellas', 0.4777), ('students', 0.3967)]"
1999,mail,"fedex""stanley cup""","an agent is supposed to deliver the stanley cup on the hockey rink in a crate. the package instead is bird seed. in bolivia, villagers receive a crate with the stanley cup, and use it as a cup for grapes.","[('mail', 1.0), ('fedex', 0.6248), ('cup', 0.5793), ('stanley', 0.5378), ('hockey', 0.4846)]"
1999,restaurant,"pizza hut""new yorker""","four different commercials are used to describe the new new yorker pizza, two ads saying that new yorkers have big mouths because of the big pizza:1. fran drescher says how everythings big in new york.2. spike lee constantly complains about things all over new york.3. an announcer says that the pizzas so big it has three zip codes.4. donald trump says that he has large things in new york, including his plans for the tallest skyscraper in new york and his name plastered all over the city.","[('restaurant', 1.0), ('yorker', 0.6809), ('hut', 0.5877), ('pizza', 0.5838), ('commercials', 0.4419)]"
1999,sports,"wwf""hq""","famous wrestlers, including stone cold steve austin and the rock, discuss how not violent it is at the wwf world headquarters. wherever the wrestlers were walking around, everyones beating each other up.an uncensored version was also released.","[('sports', 1.0), ('wwf', 0.7629), ('hq', 0.6803), ('wrestlers', 0.548), ('violent', 0.4153)]"
1999,website,"buy.com""aliens""","after aliens from another planet are able to get buy.com on their computer, they enjoy many things, like dvd edition of caddyshack, playstation with namco tekken 3, and men are from mars, women are from venus.","[('website', 1.0), ('aliens', 0.5849), ('com', 0.414), ('venus', 0.3999), ('planet', 0.3967)]"
1999,website,hotjobs.com,a security nightwatchman at an unknown place is bored. he goes into hotjobs.com until landing the perfect job: a security nightwatchman in a bigger building.,"[('website', 1.0), ('hotjobs', 0.7423), ('nightwatchman', 0.5682), ('security', 0.3678), ('com', 0.3603)]"
1999,website,"monster.com""when i grow up""","kids talk about what they want to do when they grow up, including filing papers every day, being a yes man, and having a brown nose.","[('website', 1.0), ('monster', 0.4884), ('kids', 0.466), ('com', 0.4101), ('talk', 0.315)]"
2000,beer,"bud light""elevator""","a man tries to hold the elevator by putting his arm in the door. the bad news is that he has a sixpack of bud light in his hand, which the others in the elevator steal.","[('beer', 1.0), ('elevator', 0.6248), ('light', 0.383), ('door', 0.383), ('bud', 0.3532)]"
2000,beer,"bud light""cat""","a woman tells her boyfriend that her cat doesnt like anyone who takes her bud light. he ignores her by reaching for a bud light. that is, until the cat turns out to be a tiger.","[('beer', 1.0), ('cat', 0.5189), ('tiger', 0.5172), ('light', 0.4369), ('bud', 0.3562)]"
2000,beer,"budweiser""photo shoot""",louie and frankie document a scandal which focuses on a 1979 summer photo shoot where the ferret posed nude.,"[('beer', 1.0), ('budweiser', 0.6924), ('photo', 0.5095), ('ferret', 0.4045), ('frankie', 0.3748)]"
2000,beer,"budweiser""which game""","three men are on the phone with a guy allegedly watching the game. their question: ""whassup""","[('beer', 1.0), ('budweiser', 0.7625), ('whassup', 0.5134), ('game', 0.4279), ('men', 0.3459)]"
2000,beer,"budweiser""rexs motivation""","a dog s not crying in a movie scene, so the director tells the dog to think back to his worst day. the dogs worst day was jumping over a hedge to chase a budweiser truck, only to ram head first into the side of a lawn care truck. the dog then gives the howl of his life.","[('beer', 1.0), ('budweiser', 0.6664), ('motivation', 0.4695), ('dog', 0.452), ('dogs', 0.4439)]"
2000,candy,"mms""sexy girl""",men and women are all impressed by the green mm.,"[('candy', 1.0), ('mms', 0.6308), ('sexy', 0.4624), ('girl', 0.4571), ('green', 0.4056)]"
2000,credit card,"visa""swimmers""","the announcer decide to take a break from commercialization and focuses on the 2000 olympic games with female swimmers swimming. they then spelled out ""visa"", and the announcer ends their break, and says that visa is the official card of the olympic games.","[('credit card', 1.0), ('swimmers', 0.6939), ('visa', 0.602), ('olympic', 0.5608), ('announcer', 0.4109)]"
2000,film,gladiator,tv promo.,"[('film', 1.0), ('gladiator', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2000,film,mission to mars,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('mars', 0.7745), ('mission', 0.6643), ('tv', 0.6307)]"
2000,film,titan a.e.,tv promo.,"[('film', 1.0), ('titan', 0.863), ('promo', 0.8236), ('tv', 0.6307)]"
2000,mail,"fedex""combat rangers""",combat rangers action figures are all wearing dresses. the toy makers found that the wrong shipping company got the wrong dresses in china.,"[('mail', 1.0), ('fedex', 0.5735), ('dresses', 0.5057), ('rangers', 0.4198), ('combat', 0.3507)]"
2000,mail,"fedex""the lollipop guild""","while greeting dorothy, the lollipop guild lose their high voices. a fedex truck delivers three balloons to the group, they inhale the helium, and continue the greeting.","[('mail', 1.0), ('fedex', 0.6774), ('lollipop', 0.559), ('balloons', 0.5049), ('guild', 0.4278)]"
2000,tv,"oxygen""baby girl power""","at a maternity ward, a pink cap for a baby girl is found on the floor. soon, all the babies take off their caps, signifying they should not be categorized.","[('tv', 1.0), ('oxygen', 0.5232), ('power', 0.4599), ('maternity', 0.4576), ('caps', 0.416)]"
2000,website,"autotrader.com""i need a car""","a man stands in a vast, featureless white room. he says, ""i need a car."" countless cars zoom past him, which are narrowed down based on his choices.","[('website', 1.0), ('autotrader', 0.5577), ('car', 0.4711), ('cars', 0.4114), ('com', 0.4071)]"
2000,website,"britannica.com""untitled""","in a completely silent tv spot, a bunch of random questions appear on the screen, such as ""who keeps the coin after the coin toss"" and ""where do buffalo wings come from"" then it ends with britannica.com logo with tagline ""whats on your mind""","[('website', 1.0), ('britannica', 0.7212), ('untitled', 0.6333), ('tv', 0.3987), ('coin', 0.3596)]"
2000,website,"computer.com""mike and mike""","to get opinions on computer.com, we watch interviews with the creators mother, college buddy, nephew, and uncle.","[('website', 1.0), ('mike', 0.6018), ('com', 0.4814), ('creators', 0.4104), ('computer', 0.4032)]"
2000,website,"e1040.com""charity""","an accountant asks a client if he gave anything to charity. the man exclaims that he gave a mint to ""charity"", who turns out to be a woman.","[('website', 1.0), ('charity', 0.6614), ('e1040', 0.4832), ('accountant', 0.4404), ('mint', 0.3874)]"
2000,website,"eds""cat herders""",we take a look at the tough and dramafilled job of being a cat herder.director: john ohagan.,"[('website', 1.0), ('herders', 0.6202), ('eds', 0.5538), ('cat', 0.4977), ('herder', 0.4601)]"
2000,website,"epidemic.com""bathroom""",a man washes his hands and receives money for it. he sneezes and the same thing happens.,"[('website', 1.0), ('sneezes', 0.6163), ('bathroom', 0.5789), ('epidemic', 0.5766), ('com', 0.3897)]"
2000,website,"etrade""wasted 2 million""","two men and a monkey dance to ""la cucharacha"". then, the screen makes fun of the money being spent by websites on super bowl ads by saying: ""well, we just wasted two million bucks.""","[('website', 1.0), ('etrade', 0.6638), ('monkey', 0.3602), ('million', 0.3537), ('wasted', 0.3509)]"
2000,website,"etrade""out the wazoo""","a man is rushed to the er. doctors discover that he has money ""coming out the wazoo"".","[('website', 1.0), ('wazoo', 0.654), ('doctors', 0.3892), ('etrade', 0.3752), ('money', 0.2268)]"
2000,website,"etrade""basketball prodigy""",a young man scores the winning goal in a basketball game. his coach tells him that hes a natural. the player then declares that he wants to dance for a career.,"[('website', 1.0), ('etrade', 0.5676), ('prodigy', 0.5348), ('dance', 0.5188), ('basketball', 0.4804)]"
2000,website,"estamp.com""time saving tips""",a man who owns his own business is shown shredding paper. a voice asks if he really has time for this. the man realizes he can throw the papers into his backyard and shred them by mowing his lawn. the voice congratulates him and suggests that he use estamp.com to buy postage.,"[('website', 1.0), ('estamp', 0.605), ('shredding', 0.5067), ('shred', 0.477), ('postage', 0.4243)]"
